1.1. Nome da Escola,8.1. A Escola possui Conselho Escolar?,"8.1.1. Caso a resposta anterior seja ""Sim"", o Conselho Escolar está funcionando regularmente?",8.2. O Conselho Escolar está completo ou possui vacância?,8.3. A Escola possui Conselho de Classe?,"8.3.1. Caso a resposta anterior seja ""Sim"", o Conselho de Classe está funcionando regularmente?",8.3.2. O Conselho de Classe está completo ou possui vacância?,8.4. A Escola possui Grêmio estudantil?,8.5. A Direção da Escola é eleita?
CENTRO EDUCACIONAL MARIA DA CONCEIÇÃO FREIRE,Não,Não se aplica porque a Escola não possui Conselho Escolar,Não se aplica porque a Escola não possui Conselho Escolar,Não,Não se aplica porque a Escola não possui Conselho de Classe,Não se aplica porque a Escola não possui Conselho de Classe,Não,Não
ESCOLA MUNICIPAL JUVÊNCIO DOS SANTOS CORDEIRO,Não,Não se aplica porque a Escola não possui Conselho Escolar,Não se aplica porque a Escola não possui Conselho Escolar,Não,Não se aplica porque a Escola não possui Conselho de Classe,Não se aplica porque a Escola não possui Conselho de Classe,Não,Sim
ESCOLA MUNICIPAL JOSÉ DE CARVALHO E SILVA,Sim,Sim,Completo,Sim,Sim,Completo,Não,Não
ESCOLA MESCOLA MUNICIPAL JOÃO GOMES DE TORRES,Sim,Sim,Completo,Não,Não se aplica porque a Escola não possui Conselho de Classe,Não se aplica porque a Escola não possui Conselho de Classe,Não,Não
ESCOLA MUNICIPAL NOSSA SENHORA DA CONCEIÇÃO,Sim,Sim,Completo,Não,Não se aplica porque a Escola não possui Conselho de Classe,Não se aplica porque a Escola não possui Conselho de Classe,Não,Não
ESCOLA MUNICIPAL MANOEL RODRIGUES,Sim,Sim,Completo,Não,Não se aplica porque a Escola não possui Conselho de Classe,Não se aplica porque a Escola não possui Conselho de Classe,Não,Não
ESCOLA MUNICIPAL CRECHE MARIA DO CARMO,Sim,Não,Não se aplica porque a Escola não possui Conselho Escolar,Não,Não se aplica porque a Escola não possui Conselho de Classe,Não se aplica porque a Escola não possui Conselho de Classe,Não,Não
ESCOLA MUNICIPAL JOSÉ PEREIRA DA SILVA DE ENSINO BÁSICO EM TEMPO INTEGRAL,Sim,Sim,Completo,Não,Não se aplica porque a Escola não possui Conselho de Classe,Não se aplica porque a Escola não possui Conselho de Classe,Não,Não
E.M 16 DE JULHO,Sim,Sim,Completo,Não,Não se aplica porque a Escola não possui Conselho de Classe,Não se aplica porque a Escola não possui Conselho de Classe,Não,Não
ESCOLA MUNICPAL JOSÉ DE ALBUQUERQUE MARANHÃO,Sim,Sim,Completo,Não,Não se aplica porque a Escola não possui Conselho de Classe,Não se aplica porque a Escola não possui Conselho de Classe,Não,Não
ESCOLA MUNICIPAL HOMERO HOMEM,Sim,Sim,Completo,Sim,Sim,Completo,Não,Não
ESCOLA MUNICIPAL DR ABELARDO CALAFANGE,Sim,Sim,Completo,Sim,Sim,Completo,Não,Não
JARDIM DE INFÂNCIA CRIANÇA FELIZ,Sim,Sim,Possui vacância,Sim,Não,Possui vacância,Não,Não
ESCOLA MUNICIPAL MOZART CALAFANGE,Não,Não se aplica porque a Escola não possui Conselho Escolar,Não se aplica porque a Escola não possui Conselho Escolar,Não,Não se aplica porque a Escola não possui Conselho de Classe,Não se aplica porque a Escola não possui Conselho de Classe,Não,Não
ESCOLA MUNICIPAL FIRMINO ANTÔNIO DE CARVALHO,Sim,Sim,Completo,Não,Não se aplica porque a Escola não possui Conselho de Classe,Não se aplica porque a Escola não possui Conselho de Classe,Não,Não
E.M. CRECHE CANGUARETAMA,Sim,Sim,Completo,Não,Não se aplica porque a Escola não possui Conselho de Classe,Não se aplica porque a Escola não possui Conselho de Classe,Não,Não
ESCOLA MUNICIPAL INDIGENA JOAO LINO DA SILVA,Sim,Não,Completo,Não,Não se aplica porque a Escola não possui Conselho de Classe,Não se aplica porque a Escola não possui Conselho de Classe,Não,Sim
ESCOLA MUNICIPAL ANTONIO DE CARVALHO FILHO,Sim,Sim,Completo,Sim,Sim,Completo,Não,Não
ESCOLA MUNICIPAL PROFWSSORA MARIA DA PAZ MOREIRA,Sim,Sim,Completo,Não,Não se aplica porque a Escola não possui Conselho de Classe,Não se aplica porque a Escola não possui Conselho de Classe,Não,Não
ESC0LA MUNICIPAL PROFESSORA ANITA MELO,Sim,Sim,Completo,Não,Não se aplica porque a Escola não possui Conselho de Classe,Completo,Não,Não
ESCOLA MUNICIPAL PROFESSORA MARIA ELIZABETH DE CASTRO,Sim,Sim,Completo,Não,Não se aplica porque a Escola não possui Conselho de Classe,Não se aplica porque a Escola não possui Conselho de Classe,Não,Não
ESCOLA MUNICIPAL JOAQUIM GOMES SOBRINHO,Sim,Sim,Completo,Não,Não se aplica porque a Escola não possui Conselho de Classe,Não se aplica porque a Escola não possui Conselho de Classe,Não,Sim
ESCOLA MUNICIPAL DRº JOSÉ TARGINO,Sim,Sim,Completo,Não,Não se aplica porque a Escola não possui Conselho de Classe,Não se aplica porque a Escola não possui Conselho de Classe,Não,Não
CRECHE MUNICIPAL MANOEL VIEIRA DA SILVA,Não,Não se aplica porque a Escola não possui Conselho Escolar,Não se aplica porque a Escola não possui Conselho Escolar,Não,Não se aplica porque a Escola não possui Conselho de Classe,Não se aplica porque a Escola não possui Conselho de Classe,Não,Sim
